;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
337;4;4.2e-05;1e-05;3.2e-05
338;4;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
339;4;2.9e-05;8e-06;2.1000000000000002e-05
340;4;3.9e-05;9e-06;2.9999999999999997e-05
341;4;2e-05;8e-06;1.2000000000000002e-05
342;4;3.3e-05;9e-06;2.4e-05
343;4;3.5e-05;8e-06;2.7e-05
344;4;2.2e-05;9e-06;1.3e-05
345;4;2e-05;8e-06;1.2000000000000002e-05
346;4;2.1e-05;9e-06;1.1999999999999999e-05
347;4;2.5e-05;7.000000000000002e-06;1.8e-05
348;4;3.1e-05;7.000000000000002e-06;2.4e-05
349;4;2.9e-05;8e-06;2.1000000000000002e-05
350;4;2.3e-05;8e-06;1.5e-05
351;4;3.6e-05;1e-05;2.6000000000000002e-05
352;4;2.4e-05;9e-06;1.5e-05
353;4;3.5e-05;1e-05;2.4999999999999998e-05
354;4;3.4e-05;1e-05;2.4e-05
355;4;3.7e-05;8e-06;2.9e-05
356;4;3.7e-05;9e-06;2.7999999999999996e-05
357;4;3.2e-05;1e-05;2.2e-05
358;4;3.4e-05;1e-05;2.4e-05
359;4;2.6e-05;1e-05;1.5999999999999996e-05
360;5;3.1e-05;0.00011;-7.9e-05
361;5;3.2e-05;0.000105;-7.300000000000001e-05
362;5;3.2e-05;0.000105;-7.300000000000001e-05
363;5;3.8e-05;0.000105;-6.7e-05
364;5;2.2e-05;0.000105;-8.300000000000001e-05
365;5;4.2e-05;0.00013000000000000002;-8.800000000000002e-05
366;5;3.3e-05;0.000116;-8.3e-05
367;5;2.8e-05;9.2e-05;-6.4e-05
368;5;3.4e-05;0.000106;-7.2e-05
369;5;3.1e-05;0.00011;-7.9e-05
370;5;3.8e-05;0.00011;-7.2e-05
371;5;2.7e-05;9.6e-05;-6.9e-05
372;5;2.8e-05;9.1e-05;-6.3e-05
373;5;2.1e-05;0.000101;-8e-05
374;5;3.6e-05;0.000111;-7.500000000000001e-05
375;5;3e-05;0.0001;-7.000000000000001e-05
376;5;3.2e-05;0.000112;-7.999999999999999e-05
377;5;3.1e-05;0.000109;-7.8e-05
378;5;3.6e-05;0.000109;-7.300000000000001e-05
379;5;2.8e-05;9.5e-05;-6.7e-05
380;5;2.2e-05;0.000105;-8.300000000000001e-05
381;5;1.8e-05;8.4e-05;-6.599999999999999e-05
382;5;2.6e-05;8.499999999999999e-05;-5.9e-05
383;5;2.8e-05;0.0001;-7.2e-05
384;5;3.3e-05;0.000115;-8.2e-05
385;5;4.1e-05;0.000129;-8.8e-05
386;5;3.1e-05;0.000105;-7.400000000000001e-05
387;5;3.1e-05;0.000106;-7.500000000000001e-05
388;5;3.6e-05;0.000106;-7e-05
389;5;3.6e-05;0.0001;-6.400000000000001e-05
390;5;3.7e-05;0.000111;-7.400000000000001e-05
391;5;3.7e-05;0.000111;-7.400000000000001e-05
392;5;3.2e-05;0.00011;-7.8e-05
393;5;3.4e-05;0.000105;-7.1e-05
394;5;3e-05;0.000104;-7.4e-05
395;5;3.9e-05;0.000115;-7.6e-05
396;5;2.2e-05;0.00011;-8.8e-05
397;5;2.7e-05;0.000116;-8.9e-05
398;5;3.4e-05;0.000116;-8.2e-05
399;5;3.8e-05;0.0001;-6.2e-05
400;5;3.7e-05;0.0001;-6.300000000000001e-05
401;5;4e-05;0.000122;-8.199999999999999e-05
402;5;3.9e-05;0.000116;-7.7e-05
403;5;3.6e-05;0.000105;-6.9e-05
404;5;4.4e-05;0.000129;-8.499999999999999e-05
405;5;3.8e-05;0.000116;-7.8e-05
406;5;2.9e-05;9.9e-05;-7e-05
407;5;2e-05;9.5e-05;-7.500000000000001e-05
408;5;2.6e-05;9.1e-05;-6.500000000000001e-05
409;5;3.4e-05;9.6e-05;-6.2e-05
410;5;3e-05;0.000105;-7.500000000000001e-05
411;5;3.9e-05;0.000122;-8.3e-05
412;5;2.3e-05;0.000122;-9.9e-05
413;5;2.6e-05;6.6e-05;-4.000000000000001e-05
414;5;2.6e-05;7.900000000000001e-05;-5.3000000000000014e-05
415;5;3e-05;7.900000000000001e-05;-4.900000000000001e-05
416;5;2.7e-05;6.7e-05;-4e-05
417;5;2.6e-05;6.6e-05;-4.000000000000001e-05
418;5;2.9e-05;8.499999999999999e-05;-5.599999999999999e-05
419;5;2.2e-05;0.00011;-8.8e-05
420;5;3e-05;0.00011;-8e-05
421;5;3.6e-05;0.000105;-6.9e-05
422;5;4e-05;0.000116;-7.6e-05
423;5;2.3e-05;9.5e-05;-7.2e-05
424;5;2.9e-05;0.000111;-8.2e-05
425;5;3.2e-05;0.00011;-7.8e-05
426;5;2.3e-05;6.7e-05;-4.4e-05
427;5;2.4e-05;9.6e-05;-7.2e-05
428;5;2.8e-05;9.2e-05;-6.4e-05
429;5;2.8e-05;9.2e-05;-6.4e-05
430;5;3.2e-05;0.00011;-7.8e-05
431;5;3.6e-05;0.000122;-8.6e-05
432;5;3.4e-05;0.000122;-8.8e-05
433;5;3.1e-05;8.499999999999999e-05;-5.399999999999999e-05
434;5;3.7e-05;0.000109;-7.200000000000002e-05
435;5;3.7e-05;0.000111;-7.400000000000001e-05
436;5;3.7e-05;0.000167;-0.00013
437;5;3e-05;9.5e-05;-6.500000000000001e-05
438;5;3e-05;0.000111;-8.1e-05
439;5;3.5e-05;0.000116;-8.1e-05
440;5;3.2e-05;0.00011;-7.8e-05
441;5;2.3e-05;0.000116;-9.3e-05
442;5;2.5e-05;0.000122;-9.7e-05
443;5;3.3e-05;0.000115;-8.2e-05
444;5;2.2e-05;0.00011;-8.8e-05
445;5;2.3e-05;0.00011;-8.7e-05
446;5;3.6e-05;0.000122;-8.6e-05
447;5;3.5e-05;0.000122;-8.7e-05
448;5;4e-05;0.000131;-9.100000000000002e-05
449;5;3.4e-05;0.000129;-9.499999999999999e-05
450;6;2.4e-05;1e-05;1.4e-05
451;6;1.8e-05;9e-06;9e-06
452;6;2.6e-05;1e-05;1.5999999999999996e-05
453;6;3.4e-05;1.4e-05;1.9999999999999998e-05
454;6;3.6e-05;1.2e-05;2.4e-05
455;6;3.8e-05;1.3e-05;2.5000000000000005e-05
456;6;3.2e-05;1.4e-05;1.7999999999999997e-05
457;6;3.4e-05;1.5e-05;1.9e-05
458;6;2.3e-05;1.3e-05;1e-05
459;6;2.7e-05;1e-05;1.7e-05
460;6;2.5e-05;1.4e-05;1.1000000000000001e-05
461;6;3.8e-05;1.2e-05;2.6000000000000002e-05
462;6;2e-05;1.2e-05;8.000000000000001e-06
463;6;3.1e-05;1.3e-05;1.8000000000000004e-05
464;6;2.2e-05;1.4e-05;8e-06
465;6;3.9e-05;1.4e-05;2.4999999999999998e-05
466;6;3e-05;1.3e-05;1.7e-05
467;6;3.6e-05;1.2e-05;2.4e-05
468;6;4e-05;1.8e-05;2.2000000000000003e-05
469;6;2.9e-05;1.2e-05;1.7e-05
470;6;3.4e-05;1.1e-05;2.3e-05
471;6;2.9e-05;1.2e-05;1.7e-05
472;6;3.6e-05;1.1e-05;2.5e-05
473;6;2.2e-05;8e-06;1.4e-05
474;6;3.3e-05;1.4e-05;1.9e-05
475;6;3.1e-05;1e-05;2.1000000000000002e-05
476;6;2.9e-05;1.1e-05;1.8e-05
477;6;2.7e-05;1.2e-05;1.4999999999999999e-05
478;6;4.1e-05;1.3e-05;2.8000000000000003e-05
479;6;3e-05;1.2e-05;1.8e-05
480;6;2.3e-05;1.4e-05;9e-06
481;6;2.1e-05;1.1e-05;9.999999999999999e-06
482;6;2e-05;1.1e-05;9.000000000000002e-06
483;6;2.2e-05;1.4e-05;8e-06
484;6;2.3e-05;1.3e-05;1e-05
485;6;3.7e-05;1.6e-05;2.1e-05
486;6;3.9e-05;1.4e-05;2.4999999999999998e-05
487;6;2.3e-05;1.4e-05;9e-06
488;6;3.3e-05;1.1e-05;2.2000000000000003e-05
489;6;3e-05;1.2e-05;1.8e-05
490;6;4.7e-05;1.3e-05;3.4e-05
491;6;3.2e-05;1.4e-05;1.7999999999999997e-05
492;6;2.1e-05;1.2e-05;8.999999999999999e-06
493;6;2.9e-05;1.2e-05;1.7e-05
494;6;2.4e-05;1.3e-05;1.1000000000000001e-05
495;6;3.4e-05;1.5e-05;1.9e-05
496;6;3.4e-05;1.5e-05;1.9e-05
497;6;3.5e-05;1.5e-05;1.9999999999999998e-05
498;6;3.6e-05;1.2e-05;2.4e-05
499;6;2e-05;1.2e-05;8.000000000000001e-06
500;6;3.3e-05;1.3e-05;2.0000000000000005e-05
501;6;3.4e-05;1.2e-05;2.2e-05
502;6;1.9e-05;1.1e-05;8.000000000000001e-06
503;6;2.2e-05;1.4e-05;8e-06
504;6;2.4e-05;8e-06;1.6000000000000003e-05
505;6;1.8e-05;1.1e-05;7.000000000000001e-06
506;6;3e-05;1.3e-05;1.7e-05
507;6;2.2e-05;1.3e-05;9e-06
508;6;3.3e-05;1.4e-05;1.9e-05
509;6;3.1e-05;1.3e-05;1.8000000000000004e-05
510;6;1.5e-05;8e-06;7.000000000000001e-06
511;6;1.6e-05;1.1e-05;4.9999999999999996e-06
512;6;2.6e-05;1e-05;1.5999999999999996e-05
513;6;2.9e-05;1.3e-05;1.6000000000000003e-05
514;6;3.8e-05;1.3e-05;2.5000000000000005e-05
515;6;3.4e-05;1.5e-05;1.9e-05
516;6;3.9e-05;1.2e-05;2.7e-05
517;6;2.1e-05;1.2e-05;8.999999999999999e-06
518;6;2.3e-05;9e-06;1.4e-05
519;6;1.5e-05;8e-06;7.000000000000001e-06
