;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
472;6;9.3e-05;1.8e-05;7.5e-05
473;6;3.5e-05;1.8e-05;1.6999999999999996e-05
474;6;8.3e-05;1.7e-05;6.6e-05
475;6;8.8e-05;1.8e-05;7e-05
476;6;9.1e-05;1.9e-05;7.2e-05
477;6;8.8e-05;1.9e-05;6.9e-05
478;6;8.9e-05;1.7e-05;7.199999999999999e-05
479;6;9.2e-05;2.3e-05;6.9e-05
480;6;7.2e-05;1.8e-05;5.4e-05
481;6;6.8e-05;2.3e-05;4.4999999999999996e-05
482;6;7.1e-05;1.7e-05;5.4000000000000005e-05
483;6;6.9e-05;1.8e-05;5.099999999999999e-05
484;6;7.9e-05;1.7e-05;6.199999999999999e-05
485;6;7.8e-05;1.6e-05;6.2e-05
486;6;8.2e-05;1.8e-05;6.4e-05
487;6;9e-05;1.8e-05;7.2e-05
488;6;7.1e-05;1.3e-05;5.800000000000001e-05
489;6;9.3e-05;1.5e-05;7.8e-05
490;6;7.6e-05;1.8e-05;5.8e-05
491;6;3.8e-05;1.7e-05;2.1000000000000002e-05
492;6;9.6e-05;2.2e-05;7.400000000000001e-05
493;6;9.5e-05;1.8e-05;7.7e-05
494;6;9e-05;2e-05;7.000000000000001e-05
495;6;9.3e-05;1.4e-05;7.9e-05
496;6;5.4e-05;1.3e-05;4.1e-05
497;6;7.6e-05;1.6e-05;6.000000000000001e-05
498;6;8.9e-05;1.5e-05;7.4e-05
499;6;6.7e-05;1.4e-05;5.3e-05
500;6;5.8e-05;1.5e-05;4.3e-05
501;6;9e-05;1.5e-05;7.500000000000001e-05
502;6;7.4e-05;1.3e-05;6.1e-05
503;6;9.9e-05;1.4e-05;8.499999999999999e-05
504;6;8.8e-05;1.4e-05;7.4e-05
505;6;3.9e-05;1.3e-05;2.6000000000000002e-05
506;6;0.000101;1.4e-05;8.7e-05
507;6;9.6e-05;1.4e-05;8.2e-05
508;6;9.2e-05;1.3e-05;7.9e-05
509;6;0.0001;1.4e-05;8.6e-05
510;6;0.0001;1.6e-05;8.400000000000001e-05
511;6;9.1e-05;1.4e-05;7.7e-05
512;6;9.9e-05;1.5e-05;8.4e-05
513;6;0.0001;1.5e-05;8.5e-05
514;6;0.000103;1.3e-05;8.999999999999999e-05
515;6;6e-05;1.7e-05;4.3e-05
516;6;0.000101;1.3e-05;8.8e-05
517;6;6.9e-05;1.3e-05;5.6e-05
518;6;0.000111;1.3e-05;9.8e-05
519;6;9.4e-05;1.4e-05;7.999999999999999e-05
520;6;5.6e-05;1.2e-05;4.4e-05
521;6;8.4e-05;1.4e-05;7e-05
